,id,title,subtitle,claps,responses,publication,date,link,tokenized,popular,year
10863,10864,Building a Naive Bayes Classifier: Predicting Hotel Cancellations,"In this example, a Naive Bayes…",10,0,Towards Data Science,2020-07-22,https://towardsdatascience.com/building-a-naive-bayes-classifier-predicting-hotel-cancellations-31e3b8766614?source=collection_archive---------38-----------------------,"[('building', 'VBG'), ('naive', 'JJ'), ('bayes', 'NNS'), ('classifier', 'VBP'), ('predicting', 'VBG'), ('hotel', 'NN'), ('cancellations', 'NNS')]",0,2020
16336,16337,How to connect and interact with search applications from python,A ,1,0,Towards Data Science,2020-10-28,https://towardsdatascience.com/how-to-connect-and-interact-with-search-applications-from-python-520118139f69?source=collection_archive---------61-----------------------,"[('connect', 'JJ'), ('interact', 'JJ'), ('search', 'NN'), ('applications', 'NNS'), ('python', 'VBP')]",0,2020
685,686,Learn RCNNs with this Toy Dataset,,60,1,Towards Data Science,2018-03-18,https://towardsdatascience.com/learn-rcnns-with-this-toy-dataset-be19dce380ec?source=collection_archive---------6-----------------------,"[('learn', 'NN'), ('rcnns', 'NN'), ('toy', 'NN'), ('dataset', 'NN')]",0,2018
11704,11705,Tired of Data Quality Discussions?,Five steps to avoid these discussions,15,1,Towards Data Science,2020-08-04,https://towardsdatascience.com/tired-of-data-quality-discussions-654106ce2e00?source=collection_archive---------50-----------------------,"[('tired', 'VBN'), ('data', 'NNS'), ('quality', 'NN'), ('discussions', 'NNS')]",0,2020
8218,8219,Step by Step: Building an Automated Trading System in Robinhood,,3500,15,Towards Data Science,2019-11-04,https://towardsdatascience.com/step-by-step-building-an-automated-trading-system-in-robinhood-807d6d929cf3?source=collection_archive---------0-----------------------,"[('step', 'JJ'), ('step', 'NN'), ('building', 'VBG'), ('automated', 'VBD'), ('trading', 'NN'), ('system', 'NN'), ('robinhood', 'VBD')]",1,2019
15905,15906,22 Statistics Questions to Prepare for Data Science Interviews,Nail data science interviews with…,479,6,Towards Data Science,2020-10-21,https://towardsdatascience.com/22-statistics-questions-to-prepare-for-data-science-interviews-d5651a8b3c56?source=collection_archive---------1-----------------------,"[('22', 'CD'), ('statistics', 'NNS'), ('questions', 'NNS'), ('prepare', 'VBP'), ('data', 'NNS'), ('science', 'NN'), ('interviews', 'NNS')]",1,2020
6008,6009,Dreamscape — Using AI to create speculative VR environments,Can AI dream us an alternate reality?,22,0,Towards Data Science,2020-05-13,https://towardsdatascience.com/dreamscape-using-ai-to-create-speculative-vr-environments-bdfedd32ae54?source=collection_archive---------25-----------------------,"[('dreamscape', 'NN'), ('—', 'CD'), ('using', 'VBG'), ('ai', 'JJ'), ('create', 'NN'), ('speculative', 'JJ'), ('vr', 'NN'), ('environments', 'NNS')]",0,2020
6377,6378,Central Limit Theorem — Explained with Examples,Clearly explained with implementation,8,0,Towards Data Science,2020-05-18,https://towardsdatascience.com/central-limit-theorem-explained-with-examples-4c10377ee58c?source=collection_archive---------38-----------------------,"[('central', 'JJ'), ('limit', 'NN'), ('theorem', 'NN'), ('—', 'NNP'), ('explained', 'VBD'), ('examples', 'NNS')]",0,2020
546,547,User guide to My First Data Product: Medium Post Metric Displayer,Origin,26,1,Towards Data Science,2019-01-26,https://towardsdatascience.com/user-guide-to-my-first-data-product-medium-post-metric-displayer-e99e74e52b3a?source=collection_archive---------19-----------------------,"[('user', 'NN'), ('guide', 'NN'), ('first', 'RB'), ('data', 'JJ'), ('product', 'NN'), ('medium', 'NN'), ('post', 'NN'), ('metric', 'JJ'), ('displayer', 'NN')]",0,2019
179,180,5 Gotchas With Pandas,"<em class=""markup--em markup--h4-em"">Doing Data Analysis with pandas is pretty straightforward… until it is NOT! In</em>",571,2,Towards Data Science,2020-01-06,https://towardsdatascience.com/5-gotchas-with-pandas-974df6595e61?source=collection_archive---------11-----------------------,"[('5', 'CD'), ('gotchas', 'NNS'), ('pandas', 'NNS')]",1,2020
14005,14006,Speed Cubing for Machine Learning,"Episode 1: How to optimize Python code, CPU and I/O utilizations…",12,0,Towards Data Science,2020-09-15,https://towardsdatascience.com/speed-cubing-for-machine-learning-a5c6775fff0b?source=collection_archive---------49-----------------------,"[('speed', 'NN'), ('cubing', 'VBG'), ('machine', 'NN'), ('learning', 'NN')]",0,2020
10809,10810,What’s On Your Mind?,Part 2: Machine Learning for Motor Imagery,18,0,Towards Data Science,2020-07-21,https://towardsdatascience.com/whats-on-your-mind-a8f556af8839?source=collection_archive---------59-----------------------,"[('’', 'NN'), ('mind', 'NN')]",0,2020
5552,5553,Image Filters in Python,,463,5,Towards Data Science,2019-08-10,https://towardsdatascience.com/image-filters-in-python-26ee938e57d2?source=collection_archive---------2-----------------------,"[('image', 'NN'), ('filters', 'NNS'), ('python', 'VBP')]",1,2019
6191,6192,Digital Pollution From Modern Data Formats,That’s right. I called JSON fat.,26,0,Towards Data Science,2020-05-15,https://towardsdatascience.com/digital-pollution-5a579f8c9bf?source=collection_archive---------48-----------------------,"[('digital', 'JJ'), ('pollution', 'NN'), ('modern', 'JJ'), ('data', 'NNS'), ('formats', 'NNS')]",0,2020
13331,13332,Learning Python 10 minutes a day #24,,30,0,Towards Data Science,2020-09-03,https://towardsdatascience.com/learning-python-10-minutes-a-day-24-71adee92cb2d?source=collection_archive---------9-----------------------,"[('learning', 'VBG'), ('python', 'NN'), ('10', 'CD'), ('minutes', 'NNS'), ('day', 'NN'), ('24', 'CD')]",0,2020
3772,3773,Pandas Cheat Sheet,Getting up and running with pandas in Python,1200,3,Towards Data Science,2020-04-06,https://towardsdatascience.com/pandas-cheat-sheet-4c4eb6802a4b?source=collection_archive---------4-----------------------,"[('pandas', 'JJ'), ('cheat', 'NN'), ('sheet', 'NN')]",1,2020
10145,10146,Scarcity of the Digital Age,How to allocate the most important resource of the…,36,0,Towards Data Science,2019-12-23,https://towardsdatascience.com/scarcity-of-the-digital-age-e0eafed6c2bf?source=collection_archive---------32-----------------------,"[('scarcity', 'NN'), ('digital', 'JJ'), ('age', 'NN')]",0,2019
6324,6325,Decision tree: Part 2/2,Entropy and Information Gain,29,0,Towards Data Science,2019-09-06,https://towardsdatascience.com/decision-tree-part-2-34b31b1dc328?source=collection_archive---------14-----------------------,"[('decision', 'NN'), ('tree', 'VB'), ('part', 'NN'), ('2/2', 'CD')]",0,2019
1035,1036,Late payment practices: is this the ticking time bomb of the UK Economy?,Late payments remain a…,6,0,Towards Data Science,2020-01-28,https://towardsdatascience.com/late-payment-practices-is-this-the-ticking-time-bomb-of-the-uk-economy-5b958e4dd109?source=collection_archive---------34-----------------------,"[('late', 'JJ'), ('payment', 'NN'), ('practices', 'NNS'), ('ticking', 'VBG'), ('time', 'NN'), ('bomb', 'NN'), ('uk', 'JJ'), ('economy', 'NN')]",0,2020
17138,17139,How Python Helped Select My New Home — Part 3,,7,0,Towards Data Science,2020-11-13,https://towardsdatascience.com/how-python-helped-select-my-new-home-part-3-220cd5af592b?source=collection_archive---------31-----------------------,"[('python', 'NN'), ('helped', 'VBD'), ('select', 'VB'), ('new', 'JJ'), ('home', 'NN'), ('—', 'NNP'), ('part', 'NN'), ('3', 'CD')]",0,2020
19316,19317,Introducing Querypal: Web UI for Amazon Athena — also works on mobile,Last week before Christmas…,17,0,Towards Data Science,2020-12-24,https://towardsdatascience.com/introducing-querypal-web-ui-for-amazon-athena-also-works-on-mobile-7beab6b101b0?source=collection_archive---------22-----------------------,"[('introducing', 'VBG'), ('querypal', 'JJ'), ('web', 'NN'), ('ui', 'JJ'), ('amazon', 'NN'), ('athena', 'NN'), ('—', 'NNP'), ('also', 'RB'), ('works', 'VBZ'), ('mobile', 'JJ')]",0,2020
15107,15108,Amazon Timestream Is Finally Released — Is It Worth Your Time?,AWS serverless time-series database is…,146,1,Towards Data Science,2020-10-07,https://towardsdatascience.com/amazon-timestream-is-finally-released-is-it-worth-your-time-e6b7eff10867?source=collection_archive---------3-----------------------,"[('amazon', 'NN'), ('timestream', 'NN'), ('finally', 'RB'), ('released', 'VBN'), ('—', 'NNP'), ('worth', 'JJ'), ('time', 'NN')]",1,2020
14681,14682,IBM Data Science Professional Certificate on Coursera: job ready?,An honest review from a previously…,230,4,Towards Data Science,2020-09-29,https://towardsdatascience.com/ibm-data-science-professional-certificate-on-coursera-job-ready-a06a08c14341?source=collection_archive---------2-----------------------,"[('ibm', 'NN'), ('data', 'NNS'), ('science', 'NN'), ('professional', 'JJ'), ('certificate', 'NN'), ('coursera', 'NN'), ('job', 'NN'), ('ready', 'JJ')]",1,2020
4518,4519,MLaaS platforms for novices and pros: opt the one you need,Learn about MLaaS platforms and reasons to…,18,1,Towards Data Science,2019-07-08,https://towardsdatascience.com/mlaas-platforms-for-novices-and-pros-opt-the-one-you-need-6b64c377a89c?source=collection_archive---------24-----------------------,"[('mlaas', 'NN'), ('platforms', 'NNS'), ('novices', 'NNS'), ('pros', 'VBP'), ('opt', 'VBP'), ('one', 'CD'), ('need', 'NN')]",0,2019
173,174,Sound UX: Sound Representation of Machine Learning Estimation on Image and Temperature Data by,,12,0,Towards Data Science,2019-01-08,https://towardsdatascience.com/sound-ux-sound-representation-of-machine-learning-estimation-on-image-and-temperature-data-by-5b71bb4bb745?source=collection_archive---------30-----------------------,"[('sound', 'JJ'), ('ux', 'JJ'), ('sound', 'NN'), ('representation', 'NN'), ('machine', 'NN'), ('learning', 'VBG'), ('estimation', 'NN'), ('image', 'NN'), ('temperature', 'NN'), ('data', 'NNS')]",0,2019
8417,8418,Reduce Memory Usage and Make Your Python Code Faster Using Generators,A hands on guide to create…,2700,12,Towards Data Science,2019-11-09,https://towardsdatascience.com/reduce-memory-usage-and-make-your-python-code-faster-using-generators-bd79dbfeb4c?source=collection_archive---------0-----------------------,"[('reduce', 'VB'), ('memory', 'NN'), ('usage', 'JJ'), ('make', 'VBP'), ('python', 'JJ'), ('code', 'NN'), ('faster', 'RBR'), ('using', 'VBG'), ('generators', 'NNS')]",1,2019
15634,15635,Top 3 Books to Kickstart Your Machine Learning Journey,Whether you are a data analyst or a programmer,284,1,Towards Data Science,2020-10-16,https://towardsdatascience.com/top-3-books-to-kickstart-your-machine-learning-journey-58e8668717f2?source=collection_archive---------6-----------------------,"[('top', 'JJ'), ('3', 'CD'), ('books', 'NNS'), ('kickstart', 'VB'), ('machine', 'NN'), ('learning', 'VBG'), ('journey', 'NN')]",1,2020
7381,7382,Experience the power of the Genetic Algorithm,Vertex Cover using Genetic Algorithm,117,0,Towards Data Science,2020-05-31,https://towardsdatascience.com/experience-the-power-of-the-genetic-algorithm-4030adf0383f?source=collection_archive---------25-----------------------,"[('experience', 'NN'), ('power', 'NN'), ('genetic', 'JJ'), ('algorithm', 'NN')]",1,2020
5789,5790,Basics of Bayesian Network,"There is innumerable text available in the net on Bayesian Network, but…",256,1,Towards Data Science,2019-08-19,https://towardsdatascience.com/basics-of-bayesian-network-79435e11ae7b?source=collection_archive---------14-----------------------,"[('basics', 'NNS'), ('bayesian', 'JJ'), ('network', 'NN')]",1,2019
